Sta node#,distance,timerx(notassociated),timeidle(notassociated),timetx(notassociated),timesleep(notassociated),timecollision(notassociated)
0,27.6629,9.65804,(0.04328),9.34291,(0.506286),0.31424,(0.00656),90.0261,(0),0.0904199,(0.00184052)
1,30.734,10.7394,(0.39304),9.5582,(9.11141),0.38276,(0.00656),79.5135,(0),0.279233,(0.00552369)
2,41.9403,9.98152,(0.24984),9.59633,(4.76181),0.33216,(0.00656),84.91,(0),0.147717,(0.003682)
3,16.9095,10.8137,(0.26896),10.0692,(5.73169),0.30376,(0.00328),82.6028,(0),0.192622,(0.00368264)
4,12.396,8.70584,(0.09388),8.47418,(1.40677),0.32556,(0.00328),90.8136,(0),0.162809,(0.00368126)
5,25.3432,9.56768,(0.3134),8.94326,(6.69147),0.33544,(0.00656),83.9178,(0),0.210336,(0.00368275)
6,21.4655,9.36316,(0.049),9.0454,(0.508495),0.29816,(0.00984),90.5489,(0),0.166637,(3.26e-07)
7,44.3703,8.76636,(0.4196),8.34864,(9.11725),0.29216,(0.00656),82.8897,(0),0.147486,(0.0018429)
8,33.4271,8.18412,(0.1612),7.97321,(2.3578),0.29368,(0.00656),90.8354,(0),0.17394,(0.00368144)
9,42.8656,8.60324,(0.20892),8.27682,(3.32199),0.36264,(0.00656),89.0227,(0),0.18305,(0.00368171)
10,19.486,8.2506,(0.27712),8.12149,(5.73494),0.28472,(0.00656),87.1928,(0),0.117675,(0.00368271)
11,15.668,7.07124,(0.1724),7.11994,(2.82825),0.30792,(0.00328),92.3671,(0),0.11588,(0.0036817)
12,42.1206,7.8842,(0.18604),7.59079,(3.31678),0.31648,(0.00656),90.5408,(0),0.144286,(0.00368159)
13,19.4849,7.9772,(0.03184),7.63088,(0.503497),0.30936,(0.00656),93.3864,(0),0.142004,(0.00184049)
14,45.9523,8.87916,(0.33276),8.51269,(7.17873),0.34512,(0.00656),84.563,(0),0.167889,(0.0036833)
15,30.3457,8.19128,(0.32704),7.87233,(7.17767),0.32112,(0.00656),85.9434,(0),0.146601,(0.00368228)
16,36.751,6.99144,(0.40876),7.03765,(9.11462),0.31296,(0.00656),86.0296,(0),0.0825052,(0.00552368)
17,42.0053,8.15592,(0.12468),7.87424,(1.89151),0.3584,(0.00656),91.4537,(0),0.120937,(0.0036814)
18,41.7839,7.11848,(0.19176),7.10677,(3.31799),0.41276,(0.00656),91.7002,(0),0.131433,(0.00368237)
19,42.6692,7.15156,(0.20604),7.11812,(3.32042),0.3286,(0.00656),91.7222,(0),0.132409,(0.00368232)
20,34.7897,7.6892,(0.28832),7.58037,(6.21408),0.3428,(0.00656),87.7642,(0),0.100461,(0.00368287)
21,44.28,6.95736,(0.38268),7.04201,(8.61797),0.32872,(0.00328),86.5874,(0),0.0665653,(0.00368325)
22,36.1399,6.39864,(0.03756),6.63485,(0.504814),0.30488,(0.00656),96.0062,(0),0.0943162,(0.00184064)
23,41.4869,6.66092,(0.24412),6.87697,(4.76028),0.32984,(0.00656),91.0211,(0),0.086183,(0.0036822)
24,49.659,6.67812,(0.08124),6.96524,(0.945501),0.3268,(0.00984),94.8734,(0),0.107682,(0.0018406)
25,26.7788,6.08044,(0.3246),6.35117,(7.17605),0.28696,(0.00328),89.701,(0),0.0624412,(0.00368213)
26,40.9861,6.03896,(0.07124),6.45009,(0.942404),0.35584,(0.00656),96.0565,(0),0.0662397,(0.00184083)
27,41.3817,5.38196,(0.29976),5.89034,(6.21656),0.31256,(0.00656),91.828,(0),0.0501976,(0.00368309)
28,37.9496,4.88864,(0.26104),5.5206,(5.23961),0.33088,(0.00328),93.6768,(0),0.0651021,(0.00368196)
