4
8
0	1	1	516	1	0	0	3
0	1	1	516	1	0	4	7
0	1	1	516	1	0	8	11
0	1	1	516	1	0	12	15
0	1	1	516	1	0	16	19
0	1	1	516	1	0	20	23
0	1	1	516	1	0	24	27
0	1	1	516	1	0	28	31
8
0	1	1	516	1	0	64	67
0	1	1	516	1	0	68	71
0	1	1	516	1	0	72	75
0	1	1	516	1	0	76	79
0	1	1	516	1	0	80	83
0	1	1	516	1	0	84	87
0	1	1	516	1	0	88	91
0	1	1	516	1	0	92	95
8
0	1	1	516	1	0	128	131
0	1	1	516	1	0	132	135
0	1	1	516	1	0	136	139
0	1	1	516	1	0	140	143
0	1	1	516	1	0	144	147
0	1	1	516	1	0	148	151
0	1	1	516	1	0	152	155
0	1	1	516	1	0	156	159
8
0	1	1	516	1	0	192	195
0	1	1	516	1	0	196	199
0	1	1	516	1	0	200	203
0	1	1	516	1	0	204	207
0	1	1	516	1	0	208	211
0	1	1	516	1	0	212	215
0	1	1	516	1	0	216	219
0	1	1	516	1	0	220	223
